bairro;ocorrencias;mortos;feridos;baleados;acoes_policiais;chacinas;indice_risco;nota_dimensao;dado_principal
Campo Grande;9;8;2;10;0;0;27.0;7.03;9 ocorrencias e 10 baleados
Ibura;10;7;2;9;2;0;27.0;7.03;10 ocorrencias e 9 baleados
Brejo de Beberibe;10;7;4;11;1;0;28.5;6.87;10 ocorrencias e 11 baleados
Bomba do Hemetério;10;7;6;13;0;0;30.0;6.7;10 ocorrencias e 13 baleados
Ilha Joana Bezerra;12;8;4;12;0;0;32.0;6.48;12 ocorrencias e 12 baleados
Passarinho;13;9;5;14;1;0;36.5;5.99;13 ocorrencias e 14 baleados
Macaxeira;12;11;3;14;1;0;37.5;5.88;12 ocorrencias e 14 baleados
Curado;14;10;4;14;1;0;38.5;5.77;14 ocorrencias e 14 baleados
São José;13;8;9;17;1;0;38.5;5.77;13 ocorrencias e 17 baleados
Torrões;16;11;9;20;1;0;47.5;4.78;16 ocorrencias e 20 baleados
Guabiraba;16;15;3;18;1;0;49.5;4.56;16 ocorrencias e 18 baleados
Jardim São Paulo;16;15;3;18;1;0;49.5;4.56;16 ocorrencias e 18 baleados
Brejo da Guabiraba;15;17;1;18;0;0;50.0;4.51;15 ocorrencias e 18 baleados
Pina;19;12;11;23;3;0;55.5;3.9;19 ocorrencias e 23 baleados
Boa Viagem;19;15;7;22;0;0;56.0;3.85;19 ocorrencias e 22 baleados
Iputinga;21;14;7;21;1;0;56.5;3.79;21 ocorrencias e 21 baleados
Várzea;18;16;7;23;1;0;57.5;3.68;18 ocorrencias e 23 baleados
Afogados;23;16;5;21;1;0;60.5;3.35;23 ocorrencias e 21 baleados
Água Fria;20;19;6;25;0;1;67.0;2.64;20 ocorrencias e 25 baleados
Dois Unidos;31;24;11;35;1;0;90.5;0.05;31 ocorrencias e 35 baleados
Nova Descoberta;22;29;4;33;2;2;91.0;0.0;22 ocorrencias e 33 baleados
