bairro,IVU,nota_renda,nota_seguranca,nota_mobilidade,dado_renda,dado_seguranca,dado_mobilidade
Morro da Conceição,3.45,0.28,8.9,2.23,"R$ 1.538,83",3 ocorrencias e 4 baleados,9 paradas
Campina do Barreto,3.44,0.56,7.42,3.3,"R$ 1.972,12",7 ocorrencias e 10 baleados,19 paradas
Ipsep,3.41,1.2,7.36,2.42,"R$ 2.937,67",9 ocorrencias e 8 baleados,46 paradas
Jordão,3.37,0.36,8.79,1.97,"R$ 1.670,92",4 ocorrencias e 4 baleados,33 paradas
Areias,3.33,0.92,7.58,2.28,"R$ 2.512,57",9 ocorrencias e 9 baleados,58 paradas
Caçote,3.31,0.09,9.67,1.24,"R$ 1.246,28",1 ocorrencia e 1 baleado,6 paradas
San Martin,3.31,1.05,8.02,1.6,"R$ 2.716,84",5 ocorrencias e 7 baleados,35 paradas
Coelhos,3.3,0.25,8.46,2.21,"R$ 1.489,89",5 ocorrencias e 5 baleados,10 paradas
Recife,3.3,0.0,10.0,0.99,"R$ 1.116,60",0 ocorrencias e 0 baleados,13 paradas
Cohab,3.29,0.57,7.47,2.74,"R$ 1.978,02",8 ocorrencias e 10 baleados,126 paradas
Brasília Teimosa,3.19,0.33,8.13,2.06,"R$ 1.615,62",6 ocorrencias e 6 baleados,14 paradas
Brejo de Beberibe,3.14,0.2,6.87,3.33,"R$ 1.427,46",10 ocorrencias e 11 baleados,23 paradas
Bomba do Hemetério,3.13,0.35,6.7,3.27,"R$ 1.654,34",10 ocorrencias e 13 baleados,15 paradas
Mustardinha,3.11,0.38,8.68,1.18,"R$ 1.696,83",4 ocorrencias e 4 baleados,8 paradas
Peixinhos,3.1,0.05,10.0,0.27,"R$ 1.195,42",0 ocorrencias e 0 baleados,1 paradas
Campo Grande,3.1,1.03,7.03,1.93,"R$ 2.678,00",9 ocorrencias e 10 baleados,46 paradas
Dois Irmãos,3.08,0.44,9.23,0.46,"R$ 1.793,39",2 ocorrencias e 3 baleados,29 paradas
Sítio dos Pintos - São Brás,3.01,0.47,8.46,0.96,"R$ 1.834,45",5 ocorrencias e 5 baleados,17 paradas
São José,2.95,0.7,5.77,3.13,"R$ 2.187,88",13 ocorrencias e 17 baleados,59 paradas
Barro,2.9,0.59,7.75,1.13,"R$ 2.018,89",6 ocorrencias e 8 baleados,53 paradas
Jiquiá,2.74,0.49,7.14,1.35,"R$ 1.856,67",6 ocorrencias e 9 baleados,24 paradas
Macaxeira,2.65,0.53,5.88,2.26,"R$ 1.928,94",12 ocorrencias e 14 baleados,30 paradas
Alto José do Pinho,2.61,0.24,7.03,1.36,"R$ 1.488,98",11 ocorrencias e 11 baleados,6 paradas
Jardim São Paulo,2.52,1.09,4.56,2.4,"R$ 2.779,70",16 ocorrencias e 18 baleados,65 paradas
Ilha Joana Bezerra,2.48,0.01,6.48,1.77,"R$ 1.134,42",12 ocorrencias e 12 baleados,22 paradas
Ibura,2.48,0.34,7.03,0.78,"R$ 1.635,80",10 ocorrencias e 9 baleados,84 paradas
Iputinga,2.09,1.14,3.79,1.65,"R$ 2.844,65",21 ocorrencias e 21 baleados,76 paradas
Pina,2.06,1.75,3.9,0.64,"R$ 3.786,06",19 ocorrencias e 23 baleados,43 paradas
Curado,2.05,0.3,5.77,0.65,"R$ 1.569,75",14 ocorrencias e 14 baleados,55 paradas
Passarinho,1.98,0.05,5.99,0.53,"R$ 1.193,83",13 ocorrencias e 14 baleados,23 paradas
Torrões,1.98,0.28,4.78,1.46,"R$ 1.542,65",16 ocorrencias e 20 baleados,26 paradas
Várzea,1.75,1.1,3.68,0.68,"R$ 2.791,53",18 ocorrencias e 23 baleados,163 paradas
Brejo da Guabiraba,1.73,0.22,4.51,0.95,"R$ 1.450,60",15 ocorrencias e 18 baleados,8 paradas
Afogados,1.66,0.55,3.35,1.44,"R$ 1.949,84",23 ocorrencias e 21 baleados,52 paradas
Água Fria,1.66,0.29,2.64,2.5,"R$ 1.558,77",20 ocorrencias e 25 baleados,51 paradas
Guabiraba,1.59,0.51,4.56,0.05,"R$ 1.899,21",16 ocorrencias e 18 baleados,24 paradas
Nova Descoberta,0.82,0.21,0.0,2.47,"R$ 1.431,94",22 ocorrencias e 33 baleados,48 paradas
Dois Unidos,0.66,0.17,0.05,1.94,"R$ 1.371,21",31 ocorrencias e 35 baleados,65 paradas
